condition_id,prediction_error_difference_mm,final_distance_difference_mm,b_success_count,c_success_count
C01,-11.769127924568377,-12.865384295582771,9,10
C02,-10.363555259325288,-13.165802927687764,9,10
C03,-12.461533411764183,-13.807212887331845,9,10
C04,-9.99996536411345,-13.586460333317518,5,10
C05,-10.461498535453128,-12.800947111099958,10,10
C06,-10.363610630685633,-13.593462109565733,5,10
C07,-11.768328716850242,-12.715647206641734,10,10
C08,-10.501649939918588,-13.19243130274117,9,10
C09,-10.367384684953864,-13.427086221054195,5,10
C10,-9.998483701349231,-13.88790775090456,5,10
