shift_distance_m,shift_cm,replan_delay,response,n,successful_resolution_rate,forbidden_violation_rate,mean_final_distance_m
0.01,1.0,0,REPLAN_d0,5,1.000,0.000,0.0000
0.01,1.0,5,REPLAN_d5,5,1.000,0.000,0.0000
0.01,1.0,10,REPLAN_d10,5,1.000,0.000,0.0000
0.01,1.0,20,REPLAN_d20,5,1.000,0.000,0.0000
0.01,1.0,40,REPLAN_d40,5,1.000,0.000,0.0000
0.01,1.0,60,REPLAN_d60,5,1.000,0.000,0.0198
0.03,3.0,0,REPLAN_d0,5,0.800,0.000,0.1376
0.03,3.0,5,REPLAN_d5,5,0.800,0.000,0.1099
0.03,3.0,10,REPLAN_d10,5,1.000,0.000,0.0192
0.03,3.0,20,REPLAN_d20,5,0.800,0.000,0.1403
0.03,3.0,40,REPLAN_d40,5,1.000,0.000,0.0190
0.03,3.0,60,REPLAN_d60,5,1.000,0.000,0.0189
0.06,6.0,0,REPLAN_d0,5,1.000,0.000,0.0196
0.06,6.0,5,REPLAN_d5,5,0.800,0.200,0.0190
0.06,6.0,10,REPLAN_d10,5,1.000,0.000,0.0191
0.06,6.0,20,REPLAN_d20,5,0.800,0.000,0.1417
0.06,6.0,40,REPLAN_d40,5,1.000,0.000,0.0190
0.06,6.0,60,REPLAN_d60,5,1.000,0.000,0.0191
0.09,9.0,0,REPLAN_d0,5,0.800,0.000,0.1319
0.09,9.0,5,REPLAN_d5,5,1.000,0.000,0.0194
0.09,9.0,10,REPLAN_d10,5,0.800,0.000,0.1783
0.09,9.0,20,REPLAN_d20,5,1.000,0.000,0.0190
0.09,9.0,40,REPLAN_d40,5,0.800,0.000,0.1287
0.09,9.0,60,REPLAN_d60,5,1.000,0.000,0.0190
